Index,Variant,"Region, subregion, country or area *",Type,2015,2016,2017,2018,2019,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Estimates,Indonesia,Country/Area,  258 383,  261 556,  264 651,  267 671,  270 626,  273 524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Estimates,Lao People's Democratic Republic,Country/Area,  6 741,  6 846,  6 953,  7 061,  7 169,  7 276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Estimates,Malaysia,Country/Area,  30 271,  30 685,  31 105,  31 528,  31 950,  32 366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Estimates,Myanmar,Country/Area,  52 681,  53 045,  53 383,  53 708,  54 045,  54 410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Estimates,Philippines,Country/Area,  102 113,  103 664,  105 173,  106 651,  108 117,  109 581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Estimates,Singapore,Country/Area,  5 592,  5 654,  5 708,  5 758,  5 804,  5 850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Estimates,Thailand,Country/Area,  68 715,  68 971,  69 210,  69 428,  69 626,  69 800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Estimates,Timor-Leste,Country/Area,  1 196,  1 219,  1 243,  1 268,  1 293,  1 318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Estimates,Viet Nam,Country/Area,  92 677,  93 640,  94 601,  95 546,  96 462,  97 339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Estimates,LATIN AMERICA AND THE CARIBBEAN,SDG region,  623 934,  630 145,  636 233,  642 217,  648 121,  653 962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Estimates,Caribbean,Subregion,  42 622,  42 828,  43 002,  43 164,  43 335,  43 532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Estimates,Anguilla,Country/Area,   14,   14,   15,   15,   15,   15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
